ad_id,street_name,price,address,bedrooms,bathrooms,reception,link,subway_station,distance,efficient,average_epc_B,average_epc_C,average_epc_D,average_epc_E,average_epc_F,tube_line_Bakerloo,tube_line_Central,tube_line_Circle,tube_line_DLR,tube_line_District,tube_line_Hammersmith & City,tube_line_Jubilee,tube_line_Kew Gardens,tube_line_London Overground,tube_line_London Underground,tube_line_Metropolitan,tube_line_Northern,tube_line_Piccadilly,tube_line_Victoria,tube_line_nan
159658,Hyde Park Gardens,4500000.0,"Hyde Park, W2",3,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-hyde-park-gardens-london-w2/159658,Lancaster Gate,0.24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148064,Stanhope Mews East,4300000.0,"South Kensington, SW7",3,3,1,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-stanhope-mews-east-london-sw7/148064,Gloucester Road,0.17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144552,Highgate Hill,4000000.0,"Highgate, N6",5,3,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-highgate-hill-london-n6/144552,Northern Archway,0.48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151912,Leinster Gardens,4000000.0,"Hyde Park, W2",3,0,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-leinster-gardens-london-w2/151912,Circle Bayswater,0.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158628,Cholmeley Park,3999950.0,"Highgate Village, N6",3,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/158628,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158628,Cholmeley Park,3999950.0,"Highgate Village, N6",3,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/158628,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158628,Cholmeley Park,3999950.0,"Highgate Village, N6",3,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/158628,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158628,Cholmeley Park,3999950.0,"Highgate Village, N6",3,2,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/158628,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157876,Cholmeley Park,3250000.0,"Highgate Village, N6",3,2,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157876,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157876,Cholmeley Park,3250000.0,"Highgate Village, N6",3,2,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-cholmeley-park-london-n6/157876,Northern Highgate,0.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
